,date,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
0,2019-01-01,5616,8138,18006,42469,11380,7654,6852,3396,1700,6687,1477,2393,7440,4811,11032,4353,5127,3293,6527,5533,4838,4756,2457,16199,1587,10037,7423,11209,12339,11546,7328,21077,12120,17767,19751,3883,25885,17263,16168,14973,11132,185286,37586,14914,15094,27831,30379,23387,16144,6899,18234,5041,5461,13490,8803,2386,1640,7058,6977,11827,41845,5847,9373,5076,13622,12724,23432,42493,25716,16252,33789,80238,11837,24382,26376,16346,54905,12902,11831,7126,15860,9205,29784,11865,8516,10701,16661,10770,13586,17392,5306,6348,3385,2045,5011,5917,8232,11257,11847,19257,21455,8734,8180,8381,7875,8882,5916,6174
1,2019-01-02,6001,16475,41537,46720,28773,16724,12702,4405,3218,14837,2668,4596,6686,10696,10941,19453,18297,6000,9240,3172,8772,8746,6066,29549,2405,12992,11457,17732,22066,17480,10373,28478,18356,35102,30260,12144,37317,27563,26953,23029,26196,156232,41510,23049,25872,27535,34872,30136,23674,13752,32452,7932,10024,18618,7739,3839,3679,13342,9419,10732,37461,8578,13320,7396,22407,26736,31494,38892,43729,25983,33092,70617,25582,34721,36215,22526,61168,21458,17379,14659,18457,14641,31527,19795,8059,13196,41939,25174,26668,26664,12908,10928,5558,5427,6594,10905,10029,14668,19573,31067,27456,14827,12478,12602,13445,12677,10576,10041
2,2019-01-03,5635,16944,43619,47966,29686,16939,13100,4398,3336,15258,2721,4473,6463,10937,11233,20159,18560,6138,9213,3236,9003,8776,6054,30975,2594,13061,11717,17675,23394,17900,10723,28855,19007,36556,31054,12260,38018,28233,27482,23450,26779,138453,41779,23421,26127,27410,35986,30521,24158,14043,33200,7874,10316,18748,7294,3938,3823,13625,9592,10679,37026,8690,13062,7559,22625,27527,31794,38480,44283,26894,33424,70126,25734,35347,37428,23339,61498,22193,17478,15338,18294,14396,32384,19979,8186,13062,42628,26535,26492,27160,13456,11103,5582,5456,6631,11180,10018,14524,19495,30339,28049,15070,12715,12786,13820,12687,11165,10252
3,2019-01-04,6000,17451,43747,51773,30014,17704,13195,4717,3384,17487,2903,4832,9033,11442,13343,19831,19200,7092,10108,3821,9852,9440,6077,34895,2610,14383,12301,19063,24481,19381,11205,32263,20506,37275,33834,12347,39979,29666,28722,24334,27354,158944,45541,25159,27662,30457,39939,34013,26527,14695,35780,8474,11218,21290,7731,4140,3728,14579,10520,14526,46057,9311,14701,8093,23867,28435,34009,42183,46644,28182,35501,78307,25770,38049,40100,24438,68732,22979,18612,15912,19821,16311,41499,21107,9722,13750,43068,26737,27250,28917,13938,11790,5911,5680,7271,11176,10586,16287,20137,32297,29774,15725,13663,13437,14019,12958,12010,11051
4,2019-01-05,4180,11259,24527,50012,18353,11037,8940,3752,2635,10452,2116,3398,8796,7512,12840,6081,8273,4364,9067,3584,6401,6870,2479,24972,2049,11890,9938,14684,17373,17461,9458,30036,18576,29572,26299,6136,33133,23590,22035,19632,12945,157453,44744,20149,19133,28087,36222,29371,20748,10095,27718,6822,7210,17854,7846,3626,2680,9153,8924,11994,41761,6542,11558,6619,18010,19449,30712,38728,36198,22519,33884,80755,16989,34750,33921,20488,55067,16717,14978,9447,14128,10550,35456,14611,10612,11575,20659,19660,17541,21699,8849,9020,4704,2588,6037,8062,9247,13167,13912,22584,26085,13036,10757,11120,10492,10674,8452,8557
5,2019-01-06,3998,8622,18850,40420,13640,8578,6909,3215,2136,7047,1512,2348,4664,5605,10528,4564,6095,3479,6716,2388,5053,5266,2772,21059,1918,9258,7859,11540,13066,12535,7794,22448,14595,21412,20818,4601,26537,18664,17100,15446,10147,145148,36030,14273,17275,22066,26719,21409,18618,7536,19078,5117,5810,13092,6726,2685,1562,6954,6802,9069,29876,5864,9721,5290,14913,14745,24919,33943,28097,18122,29138,67302,13568,27013,26305,15263,47169,13606,12300,7563,13862,7167,33174,10837,8011,8968,15112,11657,13216,16323,6304,6808,3633,2131,4859,6366,7497,10949,11864,17999,20546,9362,8446,8776,8419,8816,6353,6705
6,2019-01-07,5017,15941,40678,43162,27577,15411,12310,4198,3200,14667,2584,4588,5985,10547,11234,19053,17820,5876,8855,3465,8964,8564,5256,30678,2355,13176,11272,17278,22102,17159,9962,26747,17677,34132,27812,12067,36726,27320,26949,23092,26480,138712,37425,22559,25560,27301,33390,28841,24041,13957,32720,7914,9913,18574,6125,3582,3634,13499,9758,12417,38909,8687,13681,7636,22456,27160,30609,37213,43171,26045,32380,66641,23365,32652,34014,21100,59337,20638,17213,14851,17813,14500,37302,18809,8258,12438,39902,24190,24584,25995,12812,11192,5573,5245,6340,10582,9522,14029,18493,29395,25339,14847,12853,12253,13335,12282,11200,10058
7,2019-01-08,5126,16202,42379,44907,28466,16403,12342,4350,3401,15730,2677,4621,6336,11032,11742,19353,18467,5943,9161,3497,8846,8602,5869,31217,2297,13254,11661,17337,22780,17965,10289,27835,18444,35387,30203,11901,37216,27940,27458,23533,27540,134354,38611,23092,25639,28091,34578,29803,24534,14219,33315,7753,10116,18712,6699,3807,3661,14040,9822,11660,38406,8734,13421,7549,22933,27482,31765,37849,44001,26554,32199,68108,24989,33617,35667,22555,60339,21920,17337,14653,17848,14693,30184,19171,8080,12577,40712,25582,25186,25971,13515,11259,5606,5315,6451,10746,9558,13742,18794,30220,26101,14947,12789,12376,13335,12383,11346,10228
8,2019-01-09,5021,16394,41883,46059,28290,16063,12612,4480,3379,14916,2763,4593,6800,10860,12026,19600,18312,6081,9365,3532,9079,8795,5554,32017,2324,13111,11623,17640,23267,17909,10366,28101,19196,35753,29934,11721,37708,28185,27148,23430,27168,136180,39139,23391,26432,28142,35594,30314,24921,14231,33751,8057,10117,19088,6645,3900,3833,14218,9838,12550,40494,8814,13480,7831,22857,27247,31998,37961,44138,26893,32177,68977,24923,34470,36356,22687,61257,21976,17589,14887,17918,14651,30333,19285,8379,12594,41183,25463,25678,27048,12878,11344,5595,5365,6679,10735,9993,14262,18674,30871,26324,14873,13092,12618,13384,12429,11386,10341
9,2019-01-10,5482,16354,42703,48807,28853,16216,12809,4385,3357,15387,2808,4789,7420,11347,12458,19499,18301,6045,9392,3743,8993,8829,5758,32529,2394,13418,11831,17627,23984,18659,10581,29730,19212,36148,30835,11691,37745,28861,27280,23639,26630,140739,41047,23337,26182,28692,35025,31114,25301,14380,33888,8031,10510,18774,6814,3887,3788,14336,10120,14417,43813,8824,13865,7696,22890,27487,32395,38214,44484,27033,32446,71562,24530,34972,36628,22681,64842,22323,17467,15452,18911,15451,35301,19421,8655,12761,41313,26064,25467,26686,13572,11441,5723,5495,6640,10714,9979,14491,18857,30578,26898,14930,13116,12687,13556,12524,11459,10256
